Ventilstellung,Kuehlleistung
0.1,304.2508322
0.2,560.7537106
0.3,755.5409213
0.4,898.3900107
0.5,1003.655078
0.6,1082.824657
0.7,1143.82611
0.8,1191.9383
0.9,1230.689531
1,1262.480665
